ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
1;9959785;BOUNTY DIVA;FOSPAR EXTERNO;15/10/2024 14:12;23/10/2024 12:36;Granel Sólido;COMERGE SHIPPING CO.;Importação
2;9729312;OCEAN SAGA;FOSPAR EXTERNO;23/10/2024 16:40;28/10/2024 16:35;Granel Sólido;PRIMEROSE SHIPPING CO.LTD;Importação
3;9591703;SHI DAI 9;FOSPAR EXTERNO;28/10/2024 17:36;04/11/2024 07:15;Granel Sólido;SHANGHAI TIME SHIPPING CO LTD;Importação
4;9738222;RED MARLIN;FOSPAR EXTERNO;05/11/2024 14:36;14/11/2024 02:50;Granel Sólido;WAKOH PANAMA S.A;Importação
5;9937268;ELITE DIVA;FOSPAR EXTERNO;14/11/2024 05:18;19/11/2024 18:20;Granel Sólido;SOUTHERN ROUTE MARITIME S.A;Importação
6;9785988;DUKE SANTOS;FOSPAR EXTERNO;19/11/2024 19:12;29/11/2024 06:00;Granel Sólido;LOUIS DREYFUS COMMODITIES ASIA PTE. LTD.;Importação
7;9649108;DENSA PUMA;FOSPAR INTERNO;30/10/2024 14:28;06/11/2024 20:20;Granel Sólido;COBELFRET BULK CARRIER N.V;Importação
8;9514822;AGAPI S;B201 - CORREDOR OESTE;13/10/2024 11:30;14/10/2024 13:55;Granel Sólido;BRIGHT NAVIGATION INC;Importação
9;9479333;KM SHANGHAI;B201 - CORREDOR OESTE;15/10/2024 01:15;18/10/2024 14:20;Granel Sólido;KUANG MING CORP;Exportação
10;9708978;EGRET RIVER;B201 - CORREDOR OESTE;18/10/2024 15:20;20/10/2024 06:35;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
11;9708978;EGRET RIVER;B201 - CORREDOR OESTE;21/10/2024 17:45;29/10/2024 09:20;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
12;9766188;FEDERAL MOSEL;B201 - CORREDOR OESTE;29/10/2024 10:00;31/10/2024 20:05;Granel Sólido;CANADA JUPITER MARITIME CO., LTD;Importação
13;9393450;DRAWSKO;B201 - CORREDOR OESTE;31/10/2024 20:50;03/11/2024 13:30;Granel Sólido;COE 2 SEA GMBH;Importação
14;9580039;MOUNT HIKURANGI;B201 - CORREDOR OESTE;03/11/2024 14:20;07/11/2024 01:55;Granel Sólido;PACIFIC BASIN SHIPPING HK LTD;Importação
15;9182954;STAR ISTIND;B201 - CORREDOR OESTE;07/11/2024 12:00;11/11/2024 02:22;Carga Geral;G2 OCEAN AS;Exportação
16;9612313;FEDERICA;B201 - CORREDOR OESTE;20/11/2024 07:45;27/11/2024 21:55;Granel Sólido;NORDEN A/S;Importação
17;9583146;ARUNA NAZIK;BERÇO 202;21/10/2024 16:00;23/10/2024 08:42;Granel Sólido;OLDENDORFF CARRIERS GMBH & CO;Importação
18;9624172;ELIAS;BERÇO 202;23/10/2024 09:00;02/11/2024 01:05;Carga Geral;MARYAM SHIPPING S.A;Exportação
19;9831531;CENTURY QUEEN;BERÇO 202;02/11/2024 07:00;13/11/2024 13:40;Granel Sólido;DOWA LINE AMERICAN CO LTD;Exportação
20;9554066;GANT FLAIR;BERÇO 202;14/11/2024 20:40;18/11/2024 11:55;Granel Sólido;SEATRANS MARINE LTD-LIB;Exportação
21;9377963;SILVER LAKE;BERÇO 202;18/11/2024 16:05;21/11/2024 20:05;Granel Sólido;LAKE STEVEN'S LIMITED ATENCIOSAMENTE,;Importação
22;9607083;PETREL ARROW;BERÇO 202;22/11/2024 13:58;25/11/2024 07:02;Carga Geral;G2 OCEAN A/S;Exportação
23;9079212;INTEGRADOR;BERÇO 202;25/11/2024 12:20;25/11/2024 17:05;RO-RO;RORO SHIPPING COMPANY;Exportação
24;9613850;SAGA FRIGG;BERÇO 202;26/11/2024 18:50;28/11/2024 14:20;Granel Sólido;SAGA WELCO AS;Exportação
25;9659749;CANADA PEARL;BERÇO 202;28/11/2024 20:10;29/11/2024 11:00;Granel Sólido;CANADA STAR SHIPPING CO. LTD.;Exportação
26;9583146;ARUNA NAZIK;BERÇO 204 PASA;12/10/2024 07:00;20/10/2024 06:30;Granel Sólido;OLDENDORFF CARRIERS GMBH & CO;Importação
27;9687136;UNITY NORTH;BERÇO 204 PASA;21/10/2024 20:20;23/10/2024 07:50;Granel Sólido;BERLIAN STEAMSHIP INC.;Exportação
28;9478585;KEY OHANA;BERÇO 204 PASA;23/10/2024 09:00;25/10/2024 04:20;Granel Sólido;LOUIS DREYFUS COMPANY SUISSE SA;Exportação
29;9979333;THERESA BREEZE;BERÇO 204 PASA;25/10/2024 05:30;26/10/2024 09:25;Granel Sólido;RAFFLES SHIPPING AND INVESTMENT PTE LTD;Exportação
30;9299290;SPAR CANIS;BERÇO 204 PASA;26/10/2024 12:00;28/10/2024 23:50;Granel Sólido;THE CHINA NAVIGATION CO PTE LTD;Exportação
31;9609225;ND THELXIS;BERÇO 204 PASA;29/10/2024 01:00;30/10/2024 13:20;Granel Sólido;IMPETUS MARITIME LTD-MAI;Exportação
32;9941946;MARIMYR A;BERÇO 204 PASA;30/10/2024 14:00;01/11/2024 23:40;Granel Sólido;TRITHORN BULK AS NO WEPAPPA;Exportação
33;9303065;STRANGE ATTRACTOR;BERÇO 204 PASA;02/11/2024 02:34;06/11/2024 04:03;Granel Sólido;MITSUI O. S. K. LINES LTD.;Exportação
34;9228227;SEA MOON;BERÇO 204 PASA;11/11/2024 20:20;13/11/2024 06:08;Granel Sólido;SEA MOON SHIPPING & TRADING SA;Exportação
35;9228227;SEA MOON;BERÇO 204 PASA;14/11/2024 19:10;15/11/2024 06:25;Granel Sólido;SEA MOON SHIPPING & TRADING SA;Exportação
36;9718143;TOMINI SYMPHONY;BERÇO 204 PASA;15/11/2024 08:14;18/11/2024 01:11;Granel Sólido;PRIMETRANSPORT LTD;Exportação
37;9691486;IVONE;BERÇO 204 PASA;18/11/2024 02:25;18/11/2024 23:45;Granel Sólido;GOLDEN ARROW MARITIME CO SA;Exportação
38;9520780;XO COPENHAGEN;BERÇO 204 PASA;19/11/2024 01:40;20/11/2024 11:35;Granel Sólido;XO SHIPPING A/S;Exportação
39;9492086;DIANE;BERÇO 204 PASA;20/11/2024 14:40;25/11/2024 04:20;Granel Sólido;CHARTERWELL MARITIME SA;Exportação
40;9691591;NORD STARK;BERÇO 204 PASA;25/11/2024 05:38;26/11/2024 02:32;Granel Sólido;VITERRA CHARTERING B.V.;Exportação
41;9279513;LIGARI;BERÇO 204 PASA;26/11/2024 03:20;28/11/2024 08:00;Granel Sólido;ENGELHART COMMODITIES TRADING PARTNERS (SWITZERLAND) SA;Exportação
42;9389215;ANASA;BERÇO 204 PASA;28/11/2024 10:30;30/11/2024 10:25;Granel Sólido;SANASIRI SHIPPING CO,LIMITED;Exportação
43;9828314;STAR ALTAIR;BERÇO 204 PASA;30/11/2024 11:10;02/12/2024 13:00;Granel Sólido;BLUE FLEET MANAGEMENT CO. LTD;Exportação
44;9542829;ROMANDIE;BERÇO 205;21/10/2024 13:35;23/10/2024 15:50;Granel Sólido;SUISSE ATLANTIQUE;Exportação
45;9497452;NJ CALLISTO;BERÇO 205;29/10/2024 04:10;15/11/2024 01:45;Granel Sólido;NJ CALLISTO MARITIME COMPANY LTD;Exportação
46;9488217;WU YI HAI;BERÇO 205;16/11/2024 16:10;18/11/2024 17:55;Granel Sólido;COSCO SHIPPING CO. LTD.;Importação
47;9514406;ANNA-META;BERÇO 205;18/11/2024 20:20;27/11/2024 07:20;Granel Sólido;BLUMENTHAL ASIA PTE LTD;Importação
48;9527415;ELEEN EVA;BERÇO 205;27/11/2024 08:11;02/12/2024 06:06;Granel Sólido;NORVIC SHIPPING INTERNATIONAL LTD;Importação
49;9330317;NAVIOS HELIOS;BERÇO 208;13/10/2024 07:00;16/10/2024 04:20;Granel Sólido;CARGILL INTERNATIONAL S.A.;Importação
50;9464003;ANANYA NAREE;BERÇO 208;16/10/2024 09:03;20/10/2024 01:17;Granel Sólido;PRECIOUS FORESTS LIMITED;Importação
51;9703813;BEN 1;BERÇO 208;20/10/2024 03:50;21/10/2024 13:30;Granel Sólido;BANC OF AMERICA LEASING CAPITAL, LLC;Importação
52;9703813;BEN 1;BERÇO 208;23/10/2024 13:15;27/10/2024 01:15;Granel Sólido;BANC OF AMERICA LEASING CAPITAL, LLC;Importação
53;9700354;AYE EVOLUTION;BERÇO 208;27/10/2024 05:40;31/10/2024 03:05;Granel Sólido;FUKUNAGA KAIUN KK;Importação
54;9950313;HSL HONOLULU;BERÇO 208;31/10/2024 08:10;07/11/2024 13:20;Granel Sólido;WEALTH LINE INC.;Importação
55;9747053;ADASUN;BERÇO 208;07/11/2024 14:00;11/11/2024 23:45;Granel Sólido;ADASUN SHIPPING LTD;Importação
56;9838541;PORT OSAKA;BERÇO 208;12/11/2024 01:09;13/11/2024 17:40;Granel Sólido;PORTLINE BULK INTERNATIONAL SA;Importação
57;9669380;GOOD HEART;BERÇO 208;13/11/2024 19:20;19/11/2024 19:55;Granel Sólido;PACIFIC BASIN SHIPPING;Importação
58;9317145;S-BREEZE;BERÇO 208;19/11/2024 23:35;27/11/2024 17:50;Granel Sólido;FOCUS MARE LTD;Importação
59;9370006;KALLONE;BERÇO 208;27/11/2024 19:05;02/12/2024 07:05;Granel Sólido;AIMS SHIPPING CORPORATION;Importação
60;9479034;MALTEZA;FERTILIZANTE 209;14/10/2024 05:00;21/10/2024 13:20;Granel Sólido;WL MANAGEMENT BV;Importação
61;9479034;MALTEZA;FERTILIZANTE 209;23/10/2024 19:20;24/10/2024 13:40;Granel Sólido;WL MANAGEMENT BV;Importação
62;9642796;ARGEUS;FERTILIZANTE 209;24/10/2024 18:10;10/11/2024 11:53;Granel Sólido;MAX OCEAN SHIPPING LIMITED;Importação
63;9968982;CAPE SPENCER;FERTILIZANTE 209;10/11/2024 12:50;14/11/2024 05:55;Granel Sólido;S.T. LINE S.A;Importação
64;9720299;ASTRO VEGA;FERTILIZANTE 209;14/11/2024 06:20;25/11/2024 16:30;Granel Sólido;TRI BULK SHIPPING LTD.;Importação
65;9502776;AGIOS NIKOLAOS;FERTILIZANTE 209;25/11/2024 16:55;01/12/2024 06:55;Granel Sólido;OLDENDORFF CARRIERS GMBH CO.KG;Importação
66;9805790;TAHO EUROPE;FERTILIZANTE 211;16/10/2024 17:25;22/10/2024 22:50;Granel Sólido;THC INTERNATIONAL S.A;Importação
67;9303065;STRANGE ATTRACTOR;FERTILIZANTE 211;24/10/2024 19:30;30/10/2024 19:00;Granel Sólido;MITSUI O. S. K. LINES LTD.;Importação
68;9503976;EQUINOX STAR;FERTILIZANTE 211;30/10/2024 19:40;06/11/2024 00:50;Granel Sólido;MERIDIAN BULK CARRIERS LTD.;Importação
69;9860661;BELFUJI;FERTILIZANTE 211;06/11/2024 00:55;11/11/2024 18:45;Granel Sólido;BRIGHT CARRIER S.A;Importação
70;9593804;ZHENG JUN;FERTILIZANTE 211;11/11/2024 21:00;20/11/2024 00:50;Granel Sólido;FUJIAN OCEAN SHIPPING;Importação
71;9530632;IOLCOS AMBITION;CORREDOR 212;14/10/2024 12:50;17/10/2024 23:55;Granel Sólido;ENGELHART COMMODITIES TRADING PARTNERS (SWITZERLAND) SA;Exportação
72;9877858;SDTR CELESTE;CORREDOR 212;18/10/2024 00:43;23/10/2024 02:00;Granel Sólido;LOUIS DREYFUS COMMODITIES SUISSE S.A.;Exportação
73;9974010;ROYAL RESPECT;CORREDOR 212;24/10/2024 20:18;27/10/2024 06:30;Granel Sólido;LEO OCEAN S.A;Exportação
74;9621895;WHITE DEFENDER;CORREDOR 212;27/10/2024 14:50;29/10/2024 04:20;Granel Sólido;NAVIGATION MARITIME BULGARE;Exportação
75;9355513;STAR MINERVA;CORREDOR 212;29/10/2024 07:28;29/10/2024 16:12;Granel Sólido;G2 OCEAN A/S;Exportação
76;9852523;GOLDEN FORTUNE;CORREDOR 212;29/10/2024 18:00;01/11/2024 23:20;Granel Sólido;COFCO INTERNATIONAL FREIGHT SA;Exportação
77;9514822;AGAPI S;CORREDOR 212;02/11/2024 00:40;04/11/2024 17:20;Granel Sólido;BRIGHT NAVIGATION INC;Importação
78;9370769;STAR BIANCA;CORREDOR 212;04/11/2024 18:50;08/11/2024 07:10;Granel Sólido;OLAM INTERNATIONAL LIMITED;Exportação
79;9597795;TINOS;CORREDOR 212;08/11/2024 08:45;11/11/2024 20:50;Granel Sólido;LOUIS DREYFUS COMMODITIES SUISSE S.A.;Exportação
80;9617662;MARIGOULA;CORREDOR 212;12/11/2024 02:55;20/11/2024 07:10;Granel Sólido;MILLENARY SHIPPING LTD;Importação
81;9600657;ANTIPAROS;CORREDOR 212;14/11/2024 08:30;19/11/2024 01:25;Granel Sólido;ANTIPAROS MARITIME CORPORATION IMO 1422822;Exportação
82;9523251;STAR AMETHYST;CORREDOR 212;19/11/2024 02:05;24/11/2024 17:00;Granel Sólido;AURIGA SHIPPING CORPORATION;Exportação
83;9971496;SHINE PEARL;CORREDOR 212;24/11/2024 18:15;28/11/2024 06:50;Granel Sólido;BUNGE S/A;Exportação
84;9580053;PATRIA;CORREDOR 212;28/11/2024 08:00;30/11/2024 07:20;Granel Sólido;PACIFIC BASIN SHIPPING (UK) LIMITED;Importação
85;9401477;STAR DANAI;CORREDOR 213;13/10/2024 06:40;16/10/2024 23:25;Granel Sólido;STAR TRIDENT II LLC;Exportação
86;9642045;JUMEIRAH BEACH;CORREDOR 213;17/10/2024 00:20;18/10/2024 06:25;Granel Sólido;JUMEIRAH BEACH LTD;Exportação
87;9652569;MAPLE ARROW;CORREDOR 213;18/10/2024 07:53;20/10/2024 18:50;Carga Geral;G2 OCEAN AS;Exportação
88;9875197;IDA;CORREDOR 213;21/10/2024 16:30;23/10/2024 13:55;Granel Sólido;AZUMA;Exportação
89;9245249;SEA PEARL;CORREDOR 213;24/10/2024 20:30;26/10/2024 16:50;Granel Sólido;SEA PEARL MARITIME LTD;Exportação
90;9474723;NIKOLAS D;CORREDOR 213;26/10/2024 17:35;30/10/2024 21:45;Granel Sólido;GOLDEN UNION SHIPPING CO;Exportação
91;9313307;GLORIA;CORREDOR 213;04/11/2024 07:15;08/11/2024 02:55;Granel Sólido;ORION REEDEREI GMBH & CO KG;Exportação
92;9785603;FARAH LOUISE;CORREDOR 213;08/11/2024 03:25;12/11/2024 07:15;Granel Sólido;LUCRETIA SHIPPING S.A;Exportação
93;9870458;DUCHESS ROSARIO;CORREDOR 213;12/11/2024 11:40;17/11/2024 01:15;Granel Sólido;LOUIS DREYFUS COMMODITIES SUISSE S.A.;Exportação
94;9583768;LEDA C;CORREDOR 214;12/10/2024 13:50;14/10/2024 09:25;Granel Sólido;HAMON MARINE S.A.;Exportação
95;9736286;QUEENA;CORREDOR 214;14/10/2024 12:40;18/10/2024 14:55;Granel Sólido;CARGILL INTERNATIONAL S.A.;Exportação
96;9363132;IOLE R;CORREDOR 214;19/10/2024 17:45;23/10/2024 19:30;Granel Sólido;PRAXIS NAVIGATION SA;Exportação
97;9232802;CEDAR ARROW;CORREDOR 214;25/10/2024 03:18;25/10/2024 14:00;Carga Geral;G2 OCEAN AS;Exportação
98;9911733;NEW WAVELET;CORREDOR 214;25/10/2024 19:05;29/10/2024 13:40;Granel Sólido;BUNGE S/A;Exportação
99;9464895;AGIA VALENTINI;CORREDOR 214;29/10/2024 14:20;01/11/2024 02:30;Granel Sólido;COFCO INTERNATIONAL FREIGHT SA;Exportação
100;9646429;GLORIEUSE;CORREDOR 214;01/11/2024 03:50;05/11/2024 15:20;Granel Sólido;BLUE FLEET MANAGEMENT CO. LTD;Importação
101;9546239;VIGOROUS;CORREDOR 214;06/11/2024 17:30;11/11/2024 14:30;Granel Sólido;VIGOROUS TRADING & SHIPPING COMPANY;Importação
102;9738222;RED MARLIN;CORREDOR 214;16/11/2024 16:05;19/11/2024 10:50;Granel Sólido;WAKOH PANAMA S.A;Exportação
103;9981300;EMERALD SHENGSI;CORREDOR 214;20/11/2024 15:55;25/11/2024 23:20;Granel Sólido;CARGILL INTERNATIONAL S.A.;Exportação
104;9744984;TIGER LILY;CORREDOR 214;26/11/2024 00:15;29/11/2024 12:05;Granel Sólido;LUCRETIA SHIPPING S.A;Exportação
105;9253210;GRANDE BUENOS AIRES;BERÇO 215;10/10/2024 03:30;10/10/2024 20:30;RO-RO;GRIMALDI CO. DI NAVEGAZIONE SP;Exportação & Importação
106;9465370;GRANDE TOGO;BERÇO 215;11/10/2024 19:45;12/10/2024 12:50;RO-RO;GRIMALDI DEEP SEA SPA;Exportação & Importação
107;9976202;SEATRADE CHILE;BERÇO 215;14/10/2024 10:20;14/10/2024 18:10;Full Conteiner;SEA LEAD SHIPPING PTE. LTD.;Exportação & Importação
108;9079212;INTEGRADOR;BERÇO 215;15/10/2024 14:00;16/10/2024 02:50;RO-RO;RORO SHIPPING COMPANY;Importação
109;9262118;XIN CHONG QING;BERÇO 215;19/10/2024 16:30;19/10/2024 23:55;Full Conteiner;SHANGHAI XIN YUAN HAI JI FINACIAL LEASING CO.;Exportação & Importação
110;9246592;GRANDE FRANCIA;BERÇO 215;21/10/2024 06:40;21/10/2024 22:15;RO-RO;GRIMALDI DEEP SEA SPA;Exportação & Importação
111;9680712;GRANDE ABIDJAN;BERÇO 215;22/10/2024 14:20;23/10/2024 12:20;RO-RO;GRIMALDI DEEP SEA SPA;Exportação & Importação
112;9253026;ANNIE B;BERÇO 215;24/10/2024 05:00;24/10/2024 17:50;Full Conteiner;ZIM INTEGRATED SHIPPING SERVICE;Exportação & Importação
113;9347607;HYUNDAI GOODWILL;BERÇO 215;25/10/2024 18:50;26/10/2024 08:30;Full Conteiner;HMM CO., LTD.;Exportação & Importação
114;9302102;RDO ENDEAVOUR;BERÇO 215;26/10/2024 11:58;27/10/2024 04:15;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
115;9491501;ESCAPE;BERÇO 215;27/10/2024 05:40;27/10/2024 22:50;Full Conteiner;SEA LEAD SHIPPING PTE. LTD.;Exportação & Importação
116;9531909;HANS SCHULTE;BERÇO 215;28/10/2024 00:30;29/10/2024 13:05;Full Conteiner;BERNHARD SCHULTE SHIP MANAGEMENT PVT. LTD.;Exportação & Importação
117;9458999;BROOKLYN BRIDGE;BERÇO 215;29/10/2024 13:20;29/10/2024 23:10;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
118;9480174;MSC ALICANTE;BERÇO 215;30/10/2024 17:35;31/10/2024 00:50;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
119;9491472;ESPOIR;BERÇO 215;31/10/2024 01:30;31/10/2024 09:15;Full Conteiner;SEA LEAD SHIPPING PTE. LTD.;Exportação & Importação
120;9262118;XIN CHONG QING;BERÇO 215;01/11/2024 00:40;01/11/2024 08:20;Full Conteiner;SHANGHAI XIN YUAN HAI JI FINACIAL LEASING CO.;Exportação & Importação
121;9686912;JAMAICA EXPRESS;BERÇO 215;01/11/2024 08:50;02/11/2024 14:00;Full Conteiner;HAPAG LLOYD AKTIENGESELLSCHATT;Exportação & Importação
